step,train_loss,train_bpc,avg_val_loss,avg_val_bpc
1,8.881903648376465,12.813878347166318,,
2,8.57103157043457,12.365384741968699,,
3,8.29076862335205,11.961050778067822,,
4,8.030774116516113,11.585957992397244,,
5,7.794659614562988,11.245316771347502,,
6,7.602023601531982,10.96740175065105,,
7,7.465724945068359,10.770764354891151,,
8,7.299413204193115,10.530827231088827,,
9,7.224930763244629,10.42337178289914,,
10,7.1075592041015625,10.254040416582033,,
11,7.021215915679932,10.1294733825621,,
12,6.926870346069336,9.99336149715505,,
13,6.844618797302246,9.874697595643331,,
14,6.808851718902588,9.823096609009058,,
15,6.716333389282227,9.689620873674432,,
16,6.6612548828125,9.610159385530988,,
17,6.569535732269287,9.477836621887745,,
18,6.551001071929932,9.451096759331596,,
19,6.431698799133301,9.278979962001115,,
20,6.44090461730957,9.292261150231344,,
21,6.341843128204346,9.14934563115616,,
22,6.286131381988525,9.068970571171333,,
23,6.286789417266846,9.069919915404094,,
24,6.265182971954346,9.038748403900513,,
25,6.194246292114258,8.936408407678089,,
26,6.136234760284424,8.852715458392815,,
27,6.09527587890625,8.793624283348166,,
28,6.167969226837158,8.898498615913702,,
29,6.048789978027344,8.726559304678911,,
30,6.090513229370117,8.786753232480894,,
31,6.105203151702881,8.807946310581416,,
32,6.0697431564331055,8.756788351255766,,
33,5.992947578430176,8.645995751708737,,
34,6.055861949920654,8.736762003458697,,
35,6.005347728729248,8.663885387051486,,
36,5.928138256072998,8.552495663740663,,
37,5.978304386138916,8.624870090807352,,
38,5.980090618133545,8.627447078847881,,
39,5.912707328796387,8.530233541482376,,
40,5.977962970733643,8.624377532495282,,
41,6.0433807373046875,8.71875541991336,,
42,5.954961776733398,8.591193823976605,,
43,5.916922092437744,8.536314160086283,,
44,5.993121147155762,8.646246158448394,,
45,5.936945915222168,8.56520242991701,,
46,5.894561290740967,8.50405434236804,,
47,5.964346408843994,8.604732986183128,,
48,5.9044036865234375,8.518253917953878,,
49,5.872372627258301,8.472042867597644,,
50,5.824538707733154,8.403033109112434,,
51,5.9139227867126465,8.531987076590575,,
52,5.875251293182373,8.476195904650679,,
53,5.847662448883057,8.436393615796197,,
54,5.950689792633057,8.585030653700285,,
55,5.929264068603516,8.55411986789541,,
56,5.830147743225098,8.41112523680083,,
57,5.862013816833496,8.45709826316827,,
