step,train_loss,train_bpc,avg_val_loss,avg_val_bpc
1,8.86451530456543,12.788792269780865,,
2,8.44815444946289,12.188110528904144,,
3,8.089102745056152,11.670108415533813,,
4,7.812560081481934,11.271141686201062,,
5,7.633620262145996,11.012986096227538,,
6,7.482579231262207,10.795079950000739,,
7,7.3736252784729,10.637892622626355,,
8,7.2757368087768555,10.496669412835661,,
9,7.166872024536133,10.339610728484125,,
10,7.084035873413086,10.220103424052576,,
11,6.989612102508545,10.08387871802656,,
12,6.942354679107666,10.015700667640921,,
13,6.830613136291504,9.854491697958762,,
14,6.759814739227295,9.75235120161134,,
15,6.692521095275879,9.655266995199284,,
16,6.65712833404541,9.60420603408872,,
17,6.563889980316162,9.469691523542883,,
18,6.482570648193359,9.352372526360913,,
19,6.444576263427734,9.297558215877919,,
20,6.391718864440918,9.22130110848535,,
21,6.3949995040893555,9.226034071037093,,
22,6.309512138366699,9.102701872450357,,
23,6.264687538146973,9.038033644003526,,
24,6.245458602905273,9.010292154488752,,
25,6.147862434387207,8.869490646157974,,
26,6.158938884735107,8.885470586145543,,
27,6.132904052734375,8.847910263127709,,
28,6.1117844581604,8.81744112877025,,
29,6.101546287536621,8.80267057078355,,
30,6.1079206466674805,8.811866827090485,,
31,6.0687971115112305,8.755423496938517,,
32,6.053027153015137,8.732672256021178,,
33,5.970464706420898,8.613559823756011,,
34,5.970109462738037,8.61304731545644,,
35,5.963230133056641,8.603122540640449,,
36,5.970272064208984,8.613281899792216,,
37,5.938582897186279,8.567564095678659,,
38,5.933109760284424,8.559668028212245,,
39,5.9475812911987305,8.580546034096386,,
40,5.92242956161499,8.544259758556144,,
41,5.970280170440674,8.613293594612475,,
42,5.967013359069824,8.608580582048232,,
43,5.96798038482666,8.60997570531203,,
44,5.916772365570068,8.536098149876798,,
45,5.945845127105713,8.57804127876922,,
46,5.944550037384033,8.576172859250248,,
47,5.926983833312988,8.550830183749706,,
48,5.932427406311035,8.558683599518707,,
49,5.874831199645996,8.47558983778904,,
50,5.929438591003418,8.554371650496273,,
51,5.927004337310791,8.550859764765656,,
52,5.966347694396973,8.607620230925813,,
53,5.806930065155029,8.377629207788186,,
54,5.882110595703125,8.486091786381325,,
55,5.891406059265137,8.499502305565004,,
56,5.89531946182251,8.505148152027528,,
57,5.859968185424805,8.454147040879464,,
58,5.922298431396484,8.544070577640195,,
59,5.895951271057129,8.506059660077101,,
60,5.859225749969482,8.45307593292989,,
61,5.901792526245117,8.514486809969378,,
62,5.861989974975586,8.457063866638096,,
63,5.947696685791016,8.580712513302421,,
64,5.907794952392578,8.523146480405622,,
65,5.848813533782959,8.43805428027293,,
66,5.871478080749512,8.470752309785569,,
67,5.8936448097229,8.502732139748208,,
68,5.848383903503418,8.43743445479922,,
69,5.812306880950928,8.385386313272702,,
70,5.82715368270874,8.40680572054176,,
71,5.878768444061279,8.481270080781735,,
72,5.840311050415039,8.42578778968279,,
73,5.829708576202393,8.410491652715052,,
74,5.855592727661133,8.447834589662195,,
75,5.845765113830566,8.433656339925065,,
76,5.860672950744629,8.455163802311365,,
77,5.856229305267334,8.448752977017802,,
78,5.8219685554504395,8.399325163159832,,
79,5.855987548828125,8.448404196201853,,
80,5.845085144042969,8.432675350884544,,
81,5.834219455718994,8.416999476223701,,
82,5.819064140319824,8.39513497785421,,
83,5.840010643005371,8.425354393402616,,
84,5.890222549438477,8.497794861807238,,
85,5.8608574867248535,8.4554300314549,,
86,5.832447052001953,8.414442438170672,,
87,5.860586166381836,8.455038598941536,,
88,5.8372087478637695,8.421312113176736,,
89,5.8231587409973145,8.401042237946045,,
90,5.819291114807129,8.395462432821452,,
91,5.835854530334473,8.419358390262934,,
92,5.80429744720459,8.373831142926532,,
93,5.819911003112793,8.396356742605938,,
94,5.859570503234863,8.453573306756185,,
95,5.781838417053223,8.34142961150398,,
96,5.866568088531494,8.463668688361832,,
97,5.850386619567871,8.440323763333714,,
98,5.781968116760254,8.341616728628118,,
99,5.831935882568359,8.413704976563773,,
100,5.807191848754883,8.378006881689481,,
101,5.845271110534668,8.43294364381989,,
102,5.844640254974365,8.432033511631523,,
103,5.790901184082031,8.354504420553173,,
104,5.832541465759277,8.414578648430156,,
105,5.812766075134277,8.386048790443827,,
106,5.827672004699707,8.407553501107712,,
107,5.833356857299805,8.415755009762057,,
108,5.894611835479736,8.504127263012005,,
109,5.825206756591797,8.403996899887868,,
110,5.881102561950684,8.48463750108563,,
111,5.829935073852539,8.41081841975169,,
112,5.760275840759277,8.310321389615915,,
113,5.82027530670166,8.396882321586975,,
114,5.828066825866699,8.40812310764737,,
115,5.781229496002197,8.34055112412337,,
116,5.7876176834106445,8.349767330417809,,
117,5.73288631439209,8.270806655753676,,
118,5.787159442901611,8.34910622910789,,
119,5.828014373779297,8.40804743528099,,
120,5.840341567993164,8.425831817241411,,
121,5.77646017074585,8.333670442227652,,
122,5.80810546875,8.379324956725693,,
123,5.785920143127441,8.34731829746952,,
124,5.804115295410156,8.373568353436013,,
125,5.8132476806640625,8.386743600353311,,
126,5.812568664550781,8.385763987173997,,
127,5.774837970733643,8.33133010231471,,
128,5.815037727355957,8.389326091838667,,
129,5.788701057434082,8.35133030874885,,
130,5.849900722503662,8.439622762048797,,
131,5.797942161560059,8.364662403843734,,
132,5.804287433624268,8.373816696383859,,
133,5.816038608551025,8.390770058175312,,
134,5.796872138977051,8.363118687569589,,
135,5.784562110900879,8.345359071110892,,
136,5.737145900726318,8.276951939834305,,
137,5.896792888641357,8.507273857592192,,
138,5.772806167602539,8.328398830013406,,
139,5.760263442993164,8.310303503420224,,
140,5.758016586303711,8.307061974416762,,
141,5.764910697937012,8.31700807508146,,
142,5.848222732543945,8.437201934255253,,
143,5.732052326202393,8.269603465128238,,
144,5.788544654846191,8.351104667510917,,
145,5.793992042541504,8.358963586724744,,
146,5.782165050506592,8.341900843967343,,
147,5.852294921875,8.443076861608727,,
148,5.7843017578125,8.344983461001409,,
149,5.799599647521973,8.36705365062133,,
150,5.802494525909424,8.371230077314882,,
151,5.804028034210205,8.373442462135582,,
152,5.732931137084961,8.2708713212304,,
153,5.802381992340088,8.371067725692468,,
154,5.780187606811523,8.33904799575483,,
155,5.741065979003906,8.282607417325277,,
156,5.774947166442871,8.331487638422901,,
157,5.748876571655273,8.293875720609808,,
158,5.769809246063232,8.324075186170715,,
159,5.7754645347595215,8.332234043127647,,
160,5.781596660614014,8.341080830688028,,
161,5.744576454162598,8.287671962427886,,
162,5.814785003662109,8.388961488618838,,
163,5.766385555267334,8.319135844437934,,
164,5.763984203338623,8.315671425918953,,
165,5.745347023010254,8.288783658283062,,
166,5.766724109649658,8.319624275166385,,
167,5.731447219848633,8.26873048119246,,
168,5.780579566955566,8.339613474710868,,
169,5.7705078125,8.325083004504771,,
170,5.78920841217041,8.352062266910922,,
171,5.759531021118164,8.309246842013323,,
172,5.767524719238281,8.320779310649579,,
173,5.768369197845459,8.321997635748291,,
174,5.715423583984375,8.245613261194084,,
175,5.7102580070495605,8.238160908966897,,
176,5.769027233123779,8.322946979981054,,
177,5.7405500411987305,8.281863076412343,,
178,5.732753276824951,8.270614723115312,,
179,5.709345817565918,8.236844897722495,,
180,5.79047155380249,8.353884595079464,,
181,5.738124370574951,8.278363573432587,,
182,5.751555442810059,8.297740514739997,,
183,5.705331802368164,8.231053897902642,,
184,5.763302803039551,8.314688373086623,,
185,5.779962062835693,8.338722604579399,,
186,5.763840675354004,8.315464358807315,,
187,5.733404159545898,8.271553748389023,,
188,5.744502544403076,8.28756533318435,,
189,5.743865966796875,8.286646945828743,,
190,5.783236503601074,8.343446624033298,,
191,5.7298431396484375,8.26641628264245,,
192,5.694685935974121,8.21569515924999,,
193,5.721851348876953,8.254886565728606,,
194,5.725055694580078,8.259509459383798,,
195,5.762049674987793,8.312880491460753,,
196,5.722592353820801,8.25595560988637,,
197,5.696343421936035,8.218086406027586,,
198,5.709501266479492,8.23706916309922,,
199,5.754212379455566,8.301573664062428,,
200,5.725435256958008,8.260057052144147,5.733725643157959,8.27201755120187
201,5.72783088684082,8.263513215495886,,
202,5.696646213531494,8.218523241960778,,
203,5.712094783782959,8.240810817651392,,
204,5.6865997314453125,8.204029232076664,,
205,5.7292022705078125,8.26549170391141,,
206,5.7366228103637695,8.27619727996232,,
207,5.698088645935059,8.220604232036218,,
208,5.665957450866699,8.17424871625326,,
209,5.722352504730225,8.255609580792834,,
210,5.691402435302734,8.210958069114625,,
211,5.676730155944824,8.18979044444643,,
212,5.686802864074707,8.204322290513733,,
213,5.742932319641113,8.285299977707187,,
214,5.709681510925293,8.237329200867324,,
215,5.656755447387695,8.160973031467858,,
216,5.6888556480407715,8.207283831761591,,
217,5.646128177642822,8.14564112210874,,
218,5.689843654632568,8.208709223971942,,
219,5.612969398498535,8.097803115875346,,
220,5.658140659332275,8.162971469870884,,
221,5.660158157348633,8.165882104254086,,
222,5.676581382751465,8.189575810098153,,
223,5.636807918548584,8.132194830533683,,
224,5.6552534103393555,8.158806050066987,,
225,5.668581485748291,8.178034398364051,,
226,5.621176242828369,8.109643089491344,,
227,5.694462776184082,8.215373207727575,,
228,5.659066200256348,8.164306743172183,,
229,5.635839462280273,8.130797643478074,,
230,5.644441604614258,8.143207911564334,,
231,5.672372817993164,8.183504134592093,,
232,5.634450912475586,8.128794389560824,,
233,5.709702014923096,8.237358781883273,,
234,5.6346049308776855,8.129016591145737,,
235,5.625906944274902,8.116468049008184,,
236,5.676175594329834,8.188990381154616,,
237,5.660478591918945,8.166344393619605,,
238,5.619778633117676,8.107626764892629,,
239,5.676220417022705,8.18905504663134,,
240,5.621509552001953,8.110123952983157,,
241,5.612400054931641,8.096981726734825,,
242,5.596543312072754,8.074105282447656,,
243,5.637396812438965,8.133044424828945,,
244,5.672056198120117,8.183047348671401,,
245,5.620876312255859,8.109210381141773,,
246,5.62412166595459,8.113892436828863,,
247,5.6345930099487305,8.128999392880651,,
248,5.6068644523620605,8.088995540359358,,
249,5.654662132263184,8.157953016118707,,
250,5.611710071563721,8.09598629115163,,
251,5.634142875671387,8.128349986390994,,
252,5.603476524353027,8.084107793421838,,
253,5.59588098526001,8.073149746839462,,
254,5.527216911315918,7.974088427873088,,
255,5.671927452087402,8.18286160740847,,
256,5.594111919403076,8.07059752430066,,
257,5.614171981811523,8.099538076857248,,
258,5.658437728881836,8.163400050636834,,
259,5.539565086364746,7.991903078780061,,
260,5.577751636505127,8.046994625296247,,
261,5.602703094482422,8.08299196998304,,
262,5.541181564331055,7.994235163525762,,
263,5.571445465087891,8.037896743065604,,
264,5.566428184509277,8.03065833725609,,
265,5.637818813323975,8.133653243412999,,
266,5.631836891174316,8.125023153992704,,
267,5.611278057098389,8.095363026024904,,
268,5.515630722045898,7.957373090070431,,
269,5.574821472167969,8.04276729173804,,
270,5.636798858642578,8.132181759852216,,
271,5.593906879425049,8.070301714141175,,
272,5.557918548583984,8.0183815277069,,
273,5.574336051940918,8.042066978383726,,
274,5.567209243774414,8.031785167584543,,
275,5.564432621002197,8.027779347680648,,
276,5.610991954803467,8.094950267662833,,
277,5.528573989868164,7.976046278370511,,
278,5.593427658081055,8.069610343884706,,
279,5.512460708618164,7.952799727418687,,
280,5.513054847717285,7.9536568889505865,,
281,5.516904830932617,7.959211240642852,,
282,5.519345283508301,7.962732069471316,,
283,5.6020283699035645,8.082018548179157,,
284,5.5993428230285645,8.078144123020518,,
285,5.599599838256836,8.078514917615779,,
286,5.513785362243652,7.954710798635074,,
287,5.602817058563232,8.083156385397265,,
288,5.523996353149414,7.969442144577379,,
289,5.503756999969482,7.940242930113891,,
290,5.584657669067383,8.056957924226031,,
291,5.439523696899414,7.8475738623147855,,
292,5.510272979736328,7.949643501810052,,
293,5.492456912994385,7.923940350673304,,
294,5.562254905700684,8.024637568614684,,
