step,train_loss,train_bpc,avg_val_loss,avg_val_bpc
10001,3.6725034713745117,5.298302545799511,,
10002,3.7412924766540527,5.39754410258399,,
10003,3.7607932090759277,5.425677712542732,,
10004,3.7356977462768555,5.389472612813696,,
10005,3.6854052543640137,5.316915884137091,,
10006,3.6746246814727783,5.3013628050889645,,
10007,3.7335901260375977,5.386431959546442,,
10008,3.6653738021850586,5.288016607416709,,
10009,3.773608922958374,5.444166879406389,,
10010,3.65226149559021,5.269099547717705,,
10011,3.6598706245422363,5.280077200322278,,
10012,3.664013385772705,5.286053941405062,,
10013,3.739386796951294,5.394794787927297,,
10014,3.74937105178833,5.409199022867661,,
10015,3.6793251037597656,5.308144081012485,,
10016,3.6933798789978027,5.32842083554921,,
10017,3.781355381011963,5.455342656024756,,
10018,3.7776119709014893,5.449942056822362,,
10019,3.6168103218078613,5.2179543151082175,,
10020,3.737272262573242,5.391744159666293,,
10021,3.5972580909729004,5.189746408644303,,
10022,3.621147871017456,5.2242120758425115,,
10023,3.7176339626312256,5.363412081728455,,
10024,3.734973430633545,5.388427646227054,,
10025,3.680828094482422,5.310312438274563,,
10026,3.724109649658203,5.3727545232886245,,
10027,3.560952663421631,5.137368748358733,,
10028,3.695350170135498,5.331263364802671,,
10029,3.6473710536956787,5.262044131448709,,
10030,3.7164502143859863,5.361704294005388,,
10031,3.731748104095459,5.38377448362531,,
10032,3.706434726715088,5.347254999610498,,
10033,3.617241382598877,5.218576204373737,,
10034,3.734926700592041,5.388360229027916,,
10035,3.7182564735412598,5.364310175131261,,
10036,3.693042755126953,5.32793446861257,,
10037,3.6713662147521973,5.2966618313102805,,
10038,3.677427291870117,5.305406117210749,,
10039,3.6531476974487305,5.270378066744219,,
10040,3.7082812786102295,5.349919010872362,,
10041,3.791764497756958,5.470359837132794,,
10042,3.6493186950683594,5.264853983998505,,
10043,3.720120668411255,5.366999639825454,,
10044,3.7366342544555664,5.390823708518875,,
10045,3.6708812713623047,5.29596220588657,,
10046,3.7298498153686523,5.38103583189297,,
10047,3.6203603744506836,5.223075958450912,,
10048,3.7142975330352783,5.358598631296107,,
10049,3.647996187210083,5.262946008469833,,
10050,3.620295286178589,5.2229820559235405,,
10051,3.716622829437256,5.361953324883837,,
10052,3.672959327697754,5.29896020745641,,
10053,3.6312026977539062,5.238718124512186,,
10054,3.6046881675720215,5.20046574330728,,
10055,3.6827220916748047,5.313044898631471,,
10056,3.6527156829833984,5.269754801617492,,
10057,3.5707027912139893,5.151435209372802,,
10058,3.7860260009765625,5.4620809362855605,,
10059,3.7517623901367188,5.412648994843969,,
10060,3.793800115585327,5.4732966128789275,,
10061,3.5688211917877197,5.148720635211584,,
10062,3.7606632709503174,5.425490251453291,,
